12 + 3 = 56
3 + 32 = 23
41 + 1 = 76
13 + 3 = 56
4 + 32 = 23
42 + 1 = 76
14 + 3 = 56
5 + 32 = 23
43 + 1 = 76
15 + 3 = 56
6 + 32 = 23
44 + 1 = 76
16 + 3 = 56
7 + 32 = 23
45 + 1 = 76
17 + 3 = 56
8 + 32 = 23
46 + 1 = 76
18 + 3 = 56
9 + 32 = 23
47 + 1 = 76
19 + 3 = 56
10 + 32 = 23
48 + 1 = 76
20 + 3 = 56
11 + 32 = 23
49 + 1 = 76
21 + 3 = 56
12 + 32 = 23
50 + 1 = 76
22 + 3 = 56
13 + 32 = 23
51 + 1 = 76
23 + 3 = 56
14 + 32 = 23
52 + 1 = 76
24 + 3 = 56
15 + 32 = 23
53 + 1 = 76
25 + 3 = 56
16 + 32 = 23
54 + 1 = 76
26 + 3 = 56
17 + 32 = 23
55 + 1 = 76
27 + 3 = 56
18 + 32 = 23
56 + 1 = 76
28 + 3 = 56
19 + 32 = 23
