24 + 57 = 81
27 + 18 = 45
15 + 27 = 42
12 + 19 = 31
82 - 28 = 54
13 + 39 = 52
48 + 29 = 77
33 - 16 = 17
88 - 49 = 39
26 + 39 = 65
16 + 58 = 74
23 + 49 = 72
24 + 57 = 81
28 + 25 = 53
38 + 44 = 86
38 + 45 = 83
72 - 15 = 57
73 - 65 = 8
74 - 56 = 18
82 - 56 = 26
85 - 38 = 47
93 - 25 = 68
95 - 26 = 69
57 - 44 = 13
88 - 51 = 37
17 + 59 = 76
68 - 49 = 17
52 - 24 = 26
19 + 57 = 76
92 - 55 = 33
66 - 17 = 39
93 - 76 = 12
16 + 66 = 84
25 + 58 = 93
62 - 24 = 35
51 - 32 = 29
52 - 37 = 14
52 - 44 = 7
62 - 14 = 39
63 - 34 = 27
63 - 54 = 19
55 + 36 = 81
64 + 27 = 99
64 + 29 = 83
69 + 15 = 76
69 + 24 = 96
72 + 19 = 81
75 + 27 = 92
59 - 37 = 12
97 - 25 = 62
